drug_class,n_matched,overall_concordance,concordance_flagged,concordance_unflagged,chi2,p_value
azithromycin,10513,0.9998,1.0,0.9998,0.0,1.0
fluoroquinolone,10513,0.4207,0.4902,0.4168,11.439,0.000719
